"id","slug","sourceUrl","title","type","status"
"1422","upcoming-projects","https://dsdanceresearchlab.com/upcoming-projects/","Upcoming Projects","research-project-index","needs-review"
"1416","ongoing-projects","https://dsdanceresearchlab.com/ongoing-projects/","Ongoing Projects","research-project-index","needs-review"
"1410","past-projects","https://dsdanceresearchlab.com/past-projects/","Past Projects","research-project-index","needs-review"
"1404","podcasts","https://dsdanceresearchlab.com/podcasts/","Podcasts","podcast-index","needs-review"
"1398","blogs","https://dsdanceresearchlab.com/blogs/","Blogs","blog-index","needs-review"
"1392","newsletter","https://dsdanceresearchlab.com/newsletter/","Newsletter","static-page","needs-review"
"1386","join-us","https://dsdanceresearchlab.com/join-us/","Join Us","static-page","needs-review"
"1380","workshops-gallery","https://dsdanceresearchlab.com/workshops-gallery/","Workshops & Gallery","event-gallery","needs-review"
"1362","other-profiles","https://dsdanceresearchlab.com/other-profiles/","Other Profiles","static-page","needs-review"
"1356","founder","https://dsdanceresearchlab.com/founder/","Founder","static-page","needs-review"
"1350","advisory-committee","https://dsdanceresearchlab.com/advisory-committee/","Advisory Committee","static-page","needs-review"
"544","contact","https://dsdanceresearchlab.com/contact/","Contact","static-page","needs-review"
"543","projects","https://dsdanceresearchlab.com/projects/","News and Events","event-gallery","needs-review"
"542","services","https://dsdanceresearchlab.com/services/","Research Projects","research-project-index","needs-review"
"541","about","https://dsdanceresearchlab.com/about/","Who We Are","static-page","needs-review"
"540","home","https://dsdanceresearchlab.com/","Home","static-page","needs-review"
